cmor_var;input_vars;calculation;units;dimensions;axes;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;fpattern;long_name;standard_name
eow;fld_s03i232;;kg m-2 s-1;time_0 lat lon;longitude latitude time;1hr;land;area: time: mean;;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;Evaporation flux from open sea;
estot;fld_s03i229;;kg m-2;time_0 lat lon;longitude latitude time;1hr;land;area: time: sum;;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;EVAP FROM SOIL SURF -AMOUNT KG/M2/TS;
evspsbl;fld_s03i223_0;;kg m-2 s-1;time lat lon;longitude latitude time;1hr;atmos;area: time: mean;;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;SURFACE TOTAL MOISTURE FLUX  KG/M2/S;water_evaporation_flux
evspsblpot;fld_s03i335;;kg m-2 s-1;time pseudo_level lat lon;longitude latitude time1;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float32;110240000;2304;umnsa_spec;POTENTIAL EVAPORATION ON TILES;water_potential_evaporation_flux
evspsbl_Pt;fld_s03i223;;kg m-2 s-1;time lat lon;longitude latitude time1;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;SURFACE TOTAL MOISTURE FLUX  KG/M2/S;water_evaporation_flux
flashrate;fld_s21i100;;s-1;time lat lon;longitude latitude time1;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float32;22048000;2304;umnsa_spec;lightning_flash_rate;
grplmxrat;fld_s00i273;level_to_height(obj,var[0],levs=(0,66));kg kg-1;time model_theta_level_number lat lon;longitude latitude alevel time1;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;1543360000;384;umnsa_cldrad;GRAUPEL AFTER TIMESTEP;mass_fraction_of_graupel_in_air
hfls;fld_s03i234_0;;W m-2;time_0 lat lon;longitude latitude time;1hr;atmos;area: time: mean;up;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;SURFACE LATENT HEAT FLUX        W/M2;surface_upward_latent_heat_flux
hfls_Pt;fld_s03i234;;W m-2;time lat lon;longitude latitude time1;1hrPt;atmos;area: time: point;up;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;SURFACE LATENT HEAT FLUX        W/M2;surface_upward_latent_heat_flux
hfss;fld_s03i217_0;;W m-2;time_0 lat lon;longitude latitude time;1hr;atmos;area: time: mean;up;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;SURFACE SENSIBLE HEAT FLUX     W/M2;surface_upward_sensible_heat_flux
hfss_Pt;fld_s03i217;;W m-2;time lat lon;longitude latitude time1;1hrPt;atmos;area: time: point;up;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;SURFACE SENSIBLE HEAT FLUX     W/M2;surface_upward_sensible_heat_flux
hus24;fld_s00i010 fld_s00i408;plevinterp(obj,var[0],var[1],24);1;time model_theta_level_number lat lon;longitude latitude plev24 time1;1hrPt;atmos;area: time: mean;;AUS2200_A1hrPlev;AUS2200;float32;9400320;2081;umnsa_mdl;SPECIFIC HUMIDITY AFTER TIMESTEP;specific_humidity
hus;fld_s00i010;level_to_height(obj,var[0],levs=(0,66));1;time model_theta_level_number lat lon_0;longitude latitude alevel time1;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;1543360000;384;umnsa_mdl;SPECIFIC HUMIDITY AFTER TIMESTEP;specific_humidity
huslev1;fld_s00i010;;1;time lat lon;longitude latitude time1;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float32;22048000;2304;umnsa_spec;SPECIFIC HUMIDITY AFTER TIMESTEP;surface_specific_humidity
huss;fld_s03i237;;1;time_0 lat lon;longitude latitude time height1.5m;1hr;atmos;area: time: mean;;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;SPECIFIC HUMIDITY  AT 1.5M;specific_humidity
huss;fld_s03i237;;1;time lat lon;longitude latitude time1 height1.5m;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float32;22048000;2304;umnsa_spec;SPECIFIC HUMIDITY  AT 1.5M;specific_humidity
lmask;fld_s00i030;var[0].isel(time=0).astype(int);1;time_1 lat lon;longitude latitude;fx;land;area: time: point;;AUS2200_fx;AUS2200;float64;44096000;384;umnsa_slv;LAND MASK (No halo) (LAND=TRUE);land_binary_mask
lwp;fld_s30i405;;kg m-2;time lat lon;longitude latitude time1;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float32;22048000;2304;umnsa_spec;TOTAL COLUMN QCL  RHO GRID;atmosphere_cloud_liquid_water_content
mrso;fld_s08i223;var[0].sum(dim='depth');kg m-2;time depth lat lon;longitude latitude time1;1hrPt;land;area: time: point;;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;;
mrsol;fld_s08i223;;kg m-2;time depth lat lon;longitude latitude sdepth time1;1hrPt;land;area: time: point;;AUS2200_A1hr;AUS2200;float32;88192000;384;umnsa_slv;SOIL MOISTURE CONTENT IN A LAYER;mass_content_of_water_in_soil_layer
mrsos;fld_s08i223;calc_top_soil(var[0]);kg m-2;time depth lat lon;longitude latitude time1 sdepth1;1hrPt;land;area: time: point;;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;;
nflash;fld_s21i104;;1;time_0 lat lon;longitude latitude time;10min;atmos;area: time: sum;;AUS2200_A10min;AUS2200;float32;22048000;2304;umnsa_spec;Number_of_lightning_flashes;
orog;fld_s00i033;var[0].isel(time=0);m;time_1 lat lon;longitude latitude;fx;land;area: time: point;;CMIP6_fx;AUS2200;float32;22048000;384;umnsa_slv;OROGRAPHY (/STRAT LOWER BC);surface_altitude
pfull;fld_s00i408;level_to_height(obj,var[0],levs=(0,66));Pa;time model_theta_level_number lat lon_0;longitude latitude alevel time1;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;1543360000;384;umnsa_mdl;PRESSURE AT THETA LEVELS AFTER TS;air_pressure
phalf;fld_s00i407;level_to_height(obj,var[0],levs=(0,66));Pa;time model_rho_level_number_0 lat lon_0;longitude latitude alevel time1;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;1565408000;384;umnsa_mdl;PRESSURE AT RHO LEVELS AFTER TS;air_pressure
pralsns;fld_s04i202;;kg m-2;time_0 lat lon;longitude latitude time;10min;atmos;area: time: sum;;AUS2200_A10min;AUS2200;float32;22048000;2304;umnsa_spec;LARGE SCALE SNOW AMOUNT     KG/M2/TS;stratiform_snowfall_amount
pralsprof;fld_s04i201;;kg m-2;time_0 lat lon;longitude latitude time;10min;atmos;area: time: sum;;AUS2200_A10min;AUS2200;float32;22048000;2304;umnsa_spec;LARGE SCALE RAIN AMOUNT     KG/M2/TS;stratiform_rainfall_amount
prw;fld_s30i404 fld_s30i403 fld_s30i405 fld_s30i406;var[0]-sum_vars(obj,var[1:]);kg m-2;time lat lon;longitude latitude time1;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float32;22048000;2304;umnsa_spec;;
ps;fld_s00i409;;Pa;time lat lon;longitude latitude time1;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float32;22048000;2304;umnsa_spec;SURFACE PRESSURE AFTER TIMESTEP;surface_air_pressure
pslev1;fld_s00i408;;Pa;time lat lon;longitude latitude alevel1 time1;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float32;22048000;2304;umnsa_spec;PRESSURE AT THETA LEVEL 1 AFTER TS;air_pressure
psl;fld_s16i222;;Pa;time_0 lat lon;longitude latitude time;1hr;atmos;area: time: mean;;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;PRESSURE AT MEAN SEA LEVEL;air_pressure_at_sea_level
psl;fld_s16i222;;Pa;time lat lon;longitude latitude time1;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float32;22048000;2304;umnsa_spec;PRESSURE AT MEAN SEA LEVEL;air_pressure_at_sea_level
rainmxrat;fld_s00i272;level_to_height(obj,var[0],levs=(0,66));kg kg-1;time model_theta_level_number lat lon;longitude latitude alevel time1;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;1543360000;384;umnsa_cldrad;RAIN AFTER TIMESTEP;mass_fraction_of_rain_in_air
refl24;fld_s04i118 fld_s00i408;plevinterp(obj,var[0],var[1],24);dBZ;time model_theta_level_number lat lon;longitude latitude plev24 time1;1hrPt;atmos;area: time: point;;AUS2200_A1hrPlev;AUS2200;float32;1543360000;384;umnsa_cldrad;radar_reflectivity_due_to_all_hydrometeor_species;
refl;fld_s04i118;level_to_height(obj,var[0],levs=(0,66));dBZ;time model_theta_level_number lat lon;longitude latitude alevel time1;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;1543360000;384;umnsa_cldrad;radar_reflectivity_due_to_all_hydrometeor_species;
reflmax;fld_s04i111;;dBZ;time lat lon;longitude latitude time1;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float32;22048000;2304;umnsa_spec;maximum_radar_reflectivity_in_the_grid_column_due_to_all_hydrometeors;
rldscs;fld_s02i208;;W m-2;time_1 lat lon;longitude latitude time1;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;22048000;337;umnsa_slv_;CLEAR-SKY (II) DOWN SURFACE LW FLUX;surface_downwelling_longwave_flux_in_air_assuming_clear_sky
rlds;fld_s02i207;;W m-2;time_0 lat lon;longitude latitude time;1hr;atmos;area: time: mean;down;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;DOWNWARD LW RAD FLUX: SURFACE;surface_downwelling_longwave_flux_in_air
rls;fld_s02i201;;W m-2;time_0 lat lon;longitude latitude time;1hr;atmos;area: time: mean;down;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;NET DOWN SURFACE LW RAD FLUX;surface_net_downward_longwave_flux
rlut;fld_s02i205;;W m-2;time_0 lat lon;longitude latitude time;1hr;atmos;area: time: mean;up;AUS2200_A1hr;AUS2200;float32;22048000;337;umnsa_slv_;OUTGOING LW RAD FLUX (TOA);toa_outgoing_longwave_flux
rsdscs;fld_s01i210;;W m-2;time_1 lat lon;longitude latitude time1;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;22048000;337;umnsa_spec;CLEAR-SKY (II) DOWN SURFACE SW FLUX;surface_downwelling_shortwave_flux_in_air_assuming_clear_sky
rsdsdiff;fld_s01i216;;W m-2;time_0 lat lon;longitude latitude time;1hr;atmos;area: time: mean;down;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;DIFFUSE SURFACE SW FLUX : CORRECTED;surface_diffuse_downwelling_shortwave_flux_in_air
rsdsdir;fld_s01i215;;W m-2;time_0 lat lon;longitude latitude time;1hr;atmos;area: time: mean;down;AUS2200_A1hr;AUS2200;float32;22048000;337;umnsa_slv_;DIRECT SURFACE SW FLUX : CORRECTED;surface_direct_along_beam_shortwave_flux_in_air 
rsds;fld_s01i235;;W m-2;time_0 lat lon;longitude latitude time;1hr;atmos;area: time: mean;down;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;TOTAL DOWNWARD SURFACE SW FLUX;surface_downwelling_shortwave_flux_in_air
rsdt;fld_s01i207;;W m-2;time_0 lat lon;longitude latitude time;1hr;atmos;area: time: mean;down;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;INCOMING SW RAD FLUX (TOA): ALL TSS;toa_incoming_shortwave_flux
rss;fld_s01i202;;W m-2;time_0 lat lon;longitude latitude time;1hr;atmos;area: time: mean;down;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;NET DOWN SURFACE SW FLUX: CORRECTED;surface_net_downward_shortwave_flux
rsut;fld_s01i205;;W m-2;time_0 lat lon;longitude latitude time;1hr;atmos;area: time: mean;up;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;OUTGOING SW RAD FLUX (TOA):CORRECTED;toa_outgoing_shortwave_flux
siconca;fld_s00i031;;1;time lat lon;longitude latitude time1 typesi;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;FRAC OF SEA ICE IN SEA AFTER TSTEP;sea_ice_area_fraction
sifllatstop;fld_s03i234 fld_s00i031;mask_seaice(obj,var[0],var[1]);W m-2;time lat lon;longitude latitude time1;1hrPt;seaIce;area: time: point;up;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;;
snw;fld_s00i023;;kg m-2;time lat lon;longitude latitude time1;1hrPt;land;area: time: point;;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;SNOW AMOUNT OVER LAND AFT TSTP KG/M2;surface_snow_amount
storm;fld_s21i101;;1;time lat lon;longitude latitude time1;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float64;44096000;2304;umnsa_spec;flag_for_location_of_storms;
ta24;fld_s16i004 fld_s00i408;plevinterp(obj,var[0],var[1],24);K;time model_theta_level_number lat lon_0;longitude latitude plev24 time1;1hrPt;atmos;area: time: point;;AUS2200_A1hrPlev;AUS2200;float32;1543360000;384;umnsa_mdl;TEMPERATURE ON THETA LEVELS; air_temperature
ta;fld_s16i004;level_to_height(obj,var[0],levs=(0,66));K;time model_theta_level_number lat lon_0;longitude latitude alevel time1;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;1543360000;384;umnsa_mdl;TEMPERATURE ON THETA LEVELS;air_temperature
tas;fld_s03i236;;K;time_0 lat lon;longitude latitude time height1.5m;1hr;atmos;area: time: mean;;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;TEMPERATURE AT 1.5M;air_temperature
tas;fld_s03i236;;K;time lat lon;longitude latitude time1 height1.5m;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float32;22048000;2304;umnsa_spec;TEMPERATURE AT 1.5M;air_temperature
tasmax;fld_s03i236_max;;K;time_0 lat lon;longitude latitude time height1.5m;1hr;atmos;area: time: maximum;;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;TEMPERATURE AT 1.5M;air_temperature
tasmin;fld_s03i236_min;;K;time_0 lat lon;longitude latitude time height1.5m;1hr;atmos;area: time: minimum;;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;TEMPERATURE AT 1.5M;air_temperature
tauu;fld_s03i460_0;;Pa;time_0 lat lon_0;longitude latitude time;1hr;atmos;area: time: mean;down;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;X-COMP SURFACE BL STRESS;surface_downward_eastward_stress
tauu;fld_s03i460;;Pa;time lat lon_0;longitude latitude time;1hrPt;atmos;area: time: point;down;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;X-COMP SURFACE BL STRESS;surface_downward_eastward_stress
tauv;fld_s03i461_0;;Pa;time_0 lat_0 lon;longitude latitude time;1hr;atmos;area: time: mean;down;AUS2200_A1hr;AUS2200;float32;22058400;384;umnsa_slv;Y-COMP SURFACE BL STRESS;surface_downward_northward_stress
tauv_Pt;fld_s03i461;;Pa;time lat_0 lon;longitude latitude time1;1hrPt;atmos;area: time: point;down;AUS2200_A1hr;AUS2200;float32;22058400;384;umnsa_slv;Y-COMP SURFACE BL STRESS;surface_downward_northward_stress
tdps;fld_s03i250;;K;time lat lon;longitude latitude height1.5m time1;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float32;22048000;2304;umnsa_spec;DEWPOINT AT 1.5M (K);dew_point_temperature
tdps;fld_s03i250;;K;time lat lon;longitude latitude time;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;DEWPOINT AT 1.5M (K);dew_point_temperature
theta24;fld_s00i004 fld_s00i408;plevinterp(obj,var[0],var[1],24);K;time model_theta_level_number lat lon_0;longitude latitude plev24 time1;1hrPt;atmos;area: time: point;;AUS2200_A1hrPlev;AUS2200;float32;1543360000;337;umnsa_mdl_;THETA AFTER TIMESTEP;air_potential_temperature
theta;fld_s00i004;level_to_height(obj,var[0],levs=(0,66));K;time model_theta_level_number lat lon_0;longitude latitude alevel time1;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;1543360000;384;umnsa_mdl;THETA AFTER TIMESTEP;air_potential_temperature
tke;fld_s03i473;level_to_height(obj,var[0]);J m-2;time model_theta_level_number_0 lat lon_0;longitude latitude alevel time1;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;992160000;384;umnsa_mdl;TURBULENT KINETIC ENERGY;
ts;fld_s00i024;;K;time lat lon;longitude latitude time1;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float32;22048000;2304;umnsa_spec;SURFACE TEMPERATURE AFTER TIMESTEP;surface_temperature
tsl;fld_s08i225;topsoil_tsl(var[0]);K;time depth lat lon;longitude latitude time1 sdepth1;1hrPt;land;area: time: point;;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;DEEP SOIL TEMP. AFTER HYDROLOGY DEGK;soil_temperature
ua24;fld_s00i002 fld_s00i407;plevinterp(obj,var[0],var[1],24);m s-1;time model_rho_level_number lat lon;longitude latitude plev24 time1;1hrPt;atmos;area: time: point;;AUS2200_A1hrPlev;AUS2200;float32;1543360000;384;umnsa_mdl;U COMPNT OF WIND AFTER TIMESTEP;eastward_wind
ua;fld_s00i002;level_to_height(obj,var[0],levs=(0,66));m s-1;time model_rho_level_number lat lon;longitude latitude alevel time1;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;1543360000;384;umnsa_mdl;U COMPNT OF WIND AFTER TIMESTEP;eastward_wind
uas;fld_s03i209;;m s-1;time_0 lat lon_0;longitude latitude time height10m;1hr;atmos;area: time: mean;;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;10 METRE WIND U-COMP;eastward_wind
uas;fld_s03i209;;m s-1;time lat lon_0;longitude latitude time1 height10m;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float32;22048000;2304;umnsa_spec;10 METRE WIND U-COMP;eastward_wind
va24;fld_s00i003 fld_s00i407;plevinterp(obj,var[0],var[1],24);m s-1;time model_rho_level_number lat_0 lon_0;longitude latitude plev24 time1;1hrPt;atmos;area: time: point;;AUS2200_A1hrPlev;AUS2200;float32;1544088000;384;umnsa_mdl;V COMPNT OF WIND AFTER TIMESTEP;northward_wind
va;fld_s00i003;level_to_height(obj,var[0],levs=(0,66));m s-1;time model_rho_level_number lat_0 lon_0;longitude latitude alevel time1;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;1544088000;384;umnsa_mdl;V COMPNT OF WIND AFTER TIMESTEP;northward_wind
vas;fld_s03i210;;m s-1;time_0 lat_0 lon;longitude latitude time height10m;1hr;atmos;area: time: mean;;AUS2200_A1hr;AUS2200;float32;22058400;384;umnsa_slv;10 METRE WIND V-COMP;northward_wind
vas;fld_s03i210;;m s-1;time lat_0 lon;longitude latitude time1 height10m;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float32;22058400;2304;umnsa_spec;10 METRE WIND V-COMP;northward_wind
wa24;fld_s00i150 fld_s00i408;plevinterp(obj,var[0],var[1],24);m s-1;time model_theta_level_number lat lon_0;longitude latitude plev24 time1;1hrPt;atmos;area: time: point;;AUS2200_A1hrPlev;AUS2200;float32;1543360000;384;umnsa_mdl;W COMPNT OF WIND AFTER TIMESTEP;upward_air_velocity
wa;fld_s00i150;level_to_height(obj,var[0],levs=(0,66));m s-1;time model_theta_level_number lat lon_0;longitude latitude alevel time1;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;1543360000;384;umnsa_mdl;W COMPNT OF WIND AFTER TIMESTEP;upward_air_velocity
wsgmax10m;fld_s03i463;;m s-1;time_0 lat lon;longitude latitude time height10m;1hr;atmos;area: time: maximum;;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;WIND GUST;wind_speed_of_gust
wsgmax10m;fld_s03i463;;m s-1;time lat lon;longitude latitude time1 height10m;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float32;22048000;2304;umnsa_spec;WIND GUST;wind_speed_of_gust
wsgmax10m_max;fld_s03i463_max;;m s-1;time_0 lat lon;longitude latitude time height10m;10min;atmos;area: time: maximum;;AUS2200_A10min;AUS2200;float32;22048000;2304;umnsa_spec;WIND GUST;wind_speed_of_gust
z0;fld_s00i026;;m;time lat lon;longitude latitude time1;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;ROUGHNESS LENGTH AFTER TIMESTEP;surface_roughness_length
zfull;fld_s15i101;level_to_height(obj,var[0],levs=(0,66));m;time_0 model_theta_level_number lat lon_0;longitude latitude alevel time1;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;1543360000;384;umnsa_mdl;H OF THETA MODEL LEVS FROM SEA LEVEL;height_above_reference_ellipsoid
zhalf;fld_s15i102;level_to_height(obj,var[0],levs=(0,66));m;time_0 model_rho_level_number lat lon_0;longitude latitude alevhalf time1;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;1543360000;384;umnsa_mdl;H OF RHO MODEL LEVS FROM SEA LEVEL;height_above_reference_ellipsoid
zg16;fld_s16i202;;m;time pressure lat lon;longitude latitude plev16 time1;3hrPt;atmos;area: time: point;;AUS2200_A3hr;AUS2200;float32;352768000;114;flreduced_;GEOPOTENTIAL HEIGHT ON P LEV/P GRID;geopotential_height
zg24;fld_s15i101 fld_s00i408;height_gpheight(obj,var[0],pmod=var[1],levnum=24);m;time_0 model_theta_level_number lat lon_0;longitude latitude plev24 time1;6hrPt;atmos;area: time: point;;AUS2200_A6hr;AUS2200;float32;1543360000;116;umnsa_mdl_;H OF THETA MODEL LEVS FROM SEA LEVEL;geopotential_height
zmla;fld_s00i025;;m;time_0 lat lon;longitude latitude time;1hr;atmos;area: time: mean;;AUS2200_A1hr;AUS2200;float32;22048000;384;umnsa_slv;BOUNDARY LAYER DEPTH AFTER TIMESTEP;atmosphere_boundary_layer_thickness
zmla;fld_s00i025;;m;time lat lon;longitude latitude time1;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float32;22048000;2304;umnsa_spec;BOUNDARY LAYER DEPTH AFTER TIMESTEP;atmosphere_boundary_layer_thickness
